회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,구매횟수,최근구매일자,총구매금액,연령대
1009495104,정상회원,수지구-동천동,여,45.0,미신청,.,normal,30.0,2022-10-03,240066.0,40대
1009508096,정상회원,수지구-동천동,여,51.0,미신청,.,normal,1.0,2022-09-09,7370.0,50대
100955264,정상회원,수지구-풍덕천동,여,85.0,미신청,.,normal,8.0,2022-08-08,113429.0,80대
1009565632,정상회원,서울 강남구-기타,여,67.0,미신청,.,normal,29.0,2022-10-29,170575.0,60대
1009641728,정상회원,수지구-풍덕천동,여,44.0,미신청,.,normal,23.0,2022-08-24,142527.0,40대
1009671424,정상회원,기흥구-보정동,여,38.0,미신청,.,normal,1.0,2022-04-25,14741.0,30대
1009959104,정상회원,수지구-동천동,여,30.0,미신청,.,normal,47.0,2022-10-29,484060.0,30대
1010090880,정상회원,수지구-풍덕천동,여,42.0,미신청,수신,normal,68.0,2022-10-27,627852.0,40대
101010944,정상회원,수원 팔달구-기타,여,69.0,미신청,.,normal,1.0,2022-01-04,7658.0,60대
1010144704,정상회원,수지구-신봉동,남,77.0,미신청,.,normal,57.0,2022-08-31,457930.0,70대
1010334016,정상회원,기타-기타,여,61.0,미신청,.,normal,2.0,2022-08-04,15028.0,60대
101035072,정상회원,수지구-성복동,여,46.0,미신청,.,normal,18.0,2022-10-30,182440.0,40대
1010391552,정상회원,수지구-풍덕천동,여,42.0,신청,.,normal,76.0,2022-09-13,757168.0,40대
1010430528,정상회원,수지구-풍덕천동,여,65.0,미신청,.,normal,4.0,2022-04-13,22973.0,60대
1010465792,정상회원,수지구-상현동,여,42.0,미신청,.,normal,1.0,2022-03-29,30631.0,40대
1010515904,정상회원,분당구-수내동,남,37.0,미신청,.,normal,9.0,2022-04-25,81937.0,30대
1010573440,정상회원,서울 강남구-기타,여,36.0,미신청,.,normal,1.0,2022-10-02,9381.0,30대
1010803584,정상회원,수지구-동천동,여,70.0,미신청,.,normal,4.0,2022-04-05,25653.0,70대
1010820288,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,17.0,2022-09-12,97253.0,30대
1010955776,정상회원,수지구-동천동,여,38.0,미신청,.,normal,4.0,2022-07-15,155451.0,30대
1010970624,정상회원,수지구-동천동,여,70.0,미신청,.,normal,81.0,2022-10-25,785960.0,70대
1011000320,정상회원,수지구-동천동,여,62.0,미신청,.,normal,142.0,2022-10-30,2770064.0,60대
1011035584,정상회원,수지구-풍덕천동,여,74.0,미신청,.,normal,10.0,2022-09-20,113142.0,70대
1011100544,정상회원,수지구-풍덕천동,여,38.0,미신청,.,normal,4.0,2022-06-20,31013.0,30대
1011139520,정상회원,수지구-상현동,여,44.0,미신청,.,normal,32.0,2022-09-06,298455.0,40대
1011145088,정상회원,서울 송파구-기타,여,36.0,신청,수신,normal,56.0,2022-10-29,540096.0,30대
1011343680,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,17.0,2022-10-22,167131.0,40대
1011488448,정상회원,수지구-동천동,여,39.0,미신청,.,normal,4.0,2022-10-03,55136.0,30대
1011540416,정상회원,수지구-신봉동,여,40.0,미신청,.,normal,17.0,2022-10-20,229344.0,40대
1011553408,정상회원,수지구-풍덕천동,여,79.0,미신청,.,normal,28.0,2022-10-14,286205.0,70대
1011625792,정상회원,기흥구-기타,여,63.0,미신청,.,normal,1.0,2022-05-20,10529.0,60대
1011982144,정상회원,기흥구-언남동,여,41.0,미신청,.,normal,1.0,2022-08-12,12827.0,40대
1012026688,정상회원,수지구-신봉동,여,62.0,미신청,.,normal,9.0,2022-09-27,133819.0,60대
1012093504,정상회원,수지구-동천동,여,46.0,미신청,.,normal,30.0,2022-09-17,324321.0,40대
1012191872,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,3.0,2022-04-09,13133.0,30대
1012531520,정상회원,수지구-상현동,여,44.0,미신청,.,normal,12.0,2022-10-14,120704.0,40대
1012615040,정상회원,수지구-동천동,여,72.0,미신청,.,normal,3.0,2022-10-05,11391.0,70대
1012713408,정상회원,분당구-중동,여,55.0,미신청,.,normal,1.0,2022-09-13,2393.0,50대
1012778368,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,1.0,2022-03-28,6126.0,40대
1012837760,정상회원,수지구-동천동,여,46.0,미신청,.,normal,1.0,2022-03-04,7849.0,40대
1012941696,정상회원,수지구-풍덕천동,여,51.0,미신청,.,normal,8.0,2022-08-24,375168.0,50대
101300480,정상회원,수지구-상현동,여,52.0,신청,.,normal,33.0,2022-10-07,472093.0,50대
1013004800,정상회원,수지구-동천동,여,48.0,미신청,.,normal,2.0,2022-02-19,26323.0,40대
1013056768,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,40.0,2022-09-09,265625.0,40대
1013108736,정상회원,수지구-동천동,여,51.0,미신청,.,normal,4.0,2022-10-26,90935.0,50대
1013136576,정상회원,수지구-동천동,여,47.0,미신청,.,normal,22.0,2022-08-15,197485.0,40대
1013156992,정상회원,수지구-동천동,여,45.0,미신청,.,normal,2.0,2022-02-23,20293.0,40대
1013168128,정상회원,분당구-구미동,여,51.0,미신청,.,normal,17.0,2022-10-18,173638.0,50대
101319040,정상회원,수지구-성복동,여,67.0,미신청,.,normal,53.0,2022-10-25,497172.0,60대
1013446528,정상회원,수지구-상현동,여,40.0,미신청,.,normal,37.0,2022-10-08,357612.0,40대
1013457664,정상회원,수지구-상현동,여,70.0,미신청,.,normal,5.0,2022-07-17,32449.0,70대
1013507776,정상회원,수지구-상현동,남,79.0,미신청,.,normal,2.0,2022-05-21,16272.0,70대
1013658112,정상회원,수지구-동천동,여,37.0,미신청,.,normal,14.0,2022-09-11,129511.0,30대
1013669248,정상회원,수지구-죽전동,여,45.0,신청,.,normal,43.0,2022-10-22,555884.0,40대
1013685952,정상회원,수지구-상현동,여,43.0,미신청,.,normal,8.0,2022-06-21,62697.0,40대
1013791744,정상회원,수지구-풍덕천동,여,69.0,미신청,.,normal,5.0,2022-10-22,89496.0,60대
1013851136,정상회원,수지구-상현동,여,68.0,미신청,.,normal,2.0,2022-02-18,26515.0,60대
1013999616,정상회원,수지구-동천동,여,47.0,미신청,.,normal,2.0,2022-10-21,8423.0,40대
1014086848,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,20.0,2022-10-06,180683.0,30대
1014120256,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,38.0,2022-08-29,251036.0,30대
1014159232,정상회원,기타-기타,여,36.0,미신청,.,normal,2.0,2022-09-05,6797.0,30대
1014279872,정상회원,수지구-풍덕천동,여,54.0,미신청,.,normal,1.0,2022-10-14,16464.0,50대
1014539712,정상회원,수지구-풍덕천동,여,65.0,미신청,수신,normal,10.0,2022-10-25,156983.0,60대
1014729024,정상회원,수지구-동천동,여,70.0,미신청,.,normal,14.0,2022-10-03,128555.0,70대
1014857088,정상회원,수지구-신봉동,여,60.0,미신청,.,normal,18.0,2022-09-20,197758.0,60대
1014864512,정상회원,수지구-신봉동,여,78.0,미신청,.,normal,7.0,2022-10-15,78397.0,70대
1014870080,정상회원,수지구-신봉동,여,37.0,미신청,.,normal,1.0,2022-02-03,12827.0,30대
1014884928,정상회원,수지구-풍덕천동,여,35.0,미신청,.,normal,8.0,2022-06-17,37523.0,30대
1014920192,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,17.0,2022-08-06,173849.0,30대
1014948032,정상회원,수지구-풍덕천동,여,63.0,미신청,.,normal,3.0,2022-10-17,31109.0,60대
1014981440,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,17.0,2022-07-23,80790.0,30대
1015011136,정상회원,수지구-풍덕천동,여,29.0,신청,.,normal,78.0,2022-10-17,596776.0,20대
1015194880,정상회원,수지구-풍덕천동,여,62.0,미신청,.,normal,6.0,2022-09-20,57241.0,60대
1015235712,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,5.0,2022-07-08,39054.0,30대
1015246848,정상회원,수지구-풍덕천동,여,43.0,신청,.,normal,56.0,2022-10-29,531744.0,40대
1015321088,정상회원,수지구-동천동,여,46.0,미신청,.,normal,4.0,2022-09-20,49009.0,40대
1015356352,정상회원,수지구-동천동,여,48.0,미신청,.,normal,1.0,2022-04-14,2489.0,40대
1015358208,정상회원,수지구-동천동,여,49.0,미신청,.,normal,10.0,2022-09-20,208480.0,40대
1015449152,정상회원,기흥구-보정동,여,67.0,미신청,.,normal,8.0,2022-10-24,146645.0,60대
1015495552,정상회원,수지구-동천동,여,52.0,미신청,.,normal,9.0,2022-09-17,81555.0,50대
1015502976,정상회원,수지구-동천동,여,48.0,미신청,.,normal,17.0,2022-08-19,135349.0,40대
1015517824,정상회원,기타-기타,남,48.0,미신청,.,normal,1.0,2022-05-21,14550.0,40대
1015525248,정상회원,기타-기타,여,49.0,미신청,.,normal,1.0,2022-05-25,3542.0,40대
101554752,정상회원,기타-기타,여,42.0,미신청,.,normal,2.0,2022-09-16,23356.0,40대
1015562368,정상회원,수지구-동천동,여,54.0,미신청,.,normal,1.0,2022-01-25,14167.0,50대
1015614336,정상회원,기타-기타,여,40.0,미신청,.,normal,1.0,2022-09-20,36374.0,40대
1015683008,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,14.0,2022-07-29,101559.0,30대
1015762816,정상회원,분당구-삼평동,여,38.0,미신청,.,normal,9.0,2022-09-26,81075.0,30대
1015902016,정상회원,수지구-동천동,여,48.0,미신청,.,normal,6.0,2022-10-14,59251.0,40대
1015935424,정상회원,수지구-신봉동,여,36.0,미신청,.,normal,7.0,2022-08-22,83085.0,30대
1015959552,정상회원,수지구-동천동,여,73.0,미신청,.,normal,1.0,2022-06-15,4977.0,70대
1015985536,정상회원,수지구-상현동,여,61.0,미신청,.,normal,13.0,2022-10-28,44031.0,60대
1016044928,정상회원,수지구-신봉동,여,52.0,미신청,.,normal,1.0,2022-09-28,29482.0,50대
1016210112,정상회원,서울 강남구-기타,여,43.0,미신청,.,normal,16.0,2022-07-02,132312.0,40대
1016492224,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,42.0,2022-10-28,246815.0,30대
1016655552,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,55.0,2022-10-29,396849.0,40대
1016726080,정상회원,수지구-동천동,여,52.0,미신청,.,normal,55.0,2022-10-19,396285.0,50대
1016844864,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,2.0,2022-02-09,14166.0,50대
1016874560,정상회원,수지구-동천동,여,49.0,미신청,.,normal,1.0,2022-05-13,5743.0,40대
1017073152,정상회원,수원 영통구-기타,여,60.0,미신청,.,normal,11.0,2022-07-05,187824.0,60대
1017086144,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,105.0,2022-10-30,1260664.0,30대
1017423936,정상회원,서울 강남구-기타,여,77.0,미신청,.,normal,2.0,2022-08-24,11103.0,70대
1017498176,정상회원,수지구-풍덕천동,여,53.0,미신청,.,normal,3.0,2022-04-11,22782.0,50대
1017553856,정상회원,수원 팔달구-기타,여,41.0,미신청,.,normal,4.0,2022-05-25,16464.0,40대
101760768,정상회원,수지구-상현동,여,64.0,신청,.,normal,42.0,2022-10-30,470662.0,60대
1017620672,정상회원,수지구-상현동,여,47.0,미신청,.,normal,6.0,2022-10-16,60017.0,40대
1017633664,정상회원,수지구-상현동,여,53.0,미신청,.,normal,21.0,2022-10-16,178519.0,50대
1017680064,정상회원,수지구-동천동,여,47.0,미신청,.,normal,1.0,2022-04-15,3829.0,40대
1017685632,정상회원,수지구-동천동,여,58.0,미신청,.,normal,1.0,2022-03-18,66622.0,50대
1017912064,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,104.0,2022-10-18,932767.0,40대
1017975168,정상회원,수지구-상현동,여,48.0,미신청,.,normal,3.0,2022-03-15,12826.0,40대
1018008576,정상회원,수지구-풍덕천동,남,51.0,미신청,.,normal,5.0,2022-08-17,93137.0,50대
1018218304,정상회원,기타-기타,여,63.0,미신청,.,normal,20.0,2022-10-16,208768.0,60대
1018381632,정상회원,수지구-상현동,여,43.0,미신청,.,normal,8.0,2022-10-10,49506.0,40대
1018557952,정상회원,기타-기타,여,45.0,미신청,.,normal,1.0,2022-10-20,10912.0,40대
1018583936,정상회원,수지구-상현동,남,44.0,미신청,.,normal,3.0,2022-10-07,42882.0,40대
1018615488,정상회원,수지구-신봉동,여,38.0,신청,.,normal,56.0,2022-02-23,608207.0,30대
1018630336,정상회원,수지구-신봉동,여,39.0,미신청,.,normal,4.0,2022-07-15,34268.0,30대
1018734272,탈퇴,수지구-동천동,여,51.0,미신청,.,normal,1.0,2022-02-18,19527.0,50대
1018997824,정상회원,수지구-동천동,여,41.0,미신청,.,normal,4.0,2022-09-02,75524.0,40대
1019151872,정상회원,수지구-동천동,여,42.0,미신청,수신,normal,196.0,2022-10-28,1907108.0,40대
1019185280,정상회원,수지구-상현동,여,43.0,미신청,.,normal,9.0,2022-09-18,107014.0,40대
1019259520,정상회원,수지구-상현동,여,62.0,미신청,.,normal,1.0,2022-03-03,26036.0,60대
1019318912,정상회원,기흥구-마북동,여,40.0,미신청,.,normal,22.0,2022-09-26,209534.0,40대
1019435840,정상회원,수지구-동천동,여,58.0,미신청,.,normal,31.0,2022-10-24,286932.0,50대
1019446976,정상회원,수지구-상현동,여,47.0,미신청,.,normal,20.0,2022-10-21,216138.0,40대
101946368,정상회원,수지구-죽전동,여,46.0,미신청,.,normal,1.0,2022-03-16,26802.0,40대
1019582464,정상회원,수지구-죽전동,여,50.0,미신청,.,normal,2.0,2022-10-30,-1723.0,50대
1019597312,정상회원,수지구-동천동,여,38.0,미신청,.,normal,37.0,2022-10-21,383363.0,30대
1019647424,정상회원,수지구-동천동,여,54.0,미신청,수신,VIP,310.0,2022-10-30,2891081.0,50대
1019649280,정상회원,수지구-동천동,여,42.0,미신청,.,normal,2.0,2022-03-12,7179.0,40대
1019884992,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,9.0,2022-05-06,66525.0,40대
1019894272,정상회원,광주-오포읍,여,36.0,미신청,.,normal,24.0,2022-10-13,181486.0,30대
1020024192,정상회원,수지구-동천동,여,72.0,신청,.,normal,50.0,2022-10-12,635110.0,70대
1020070592,정상회원,기타-기타,여,42.0,미신청,.,normal,10.0,2022-09-29,44987.0,40대
1020172672,정상회원,수지구-동천동,여,48.0,미신청,.,normal,21.0,2022-10-26,122714.0,40대
1020189376,정상회원,수지구-신봉동,여,48.0,미신청,.,normal,4.0,2022-10-30,35800.0,40대
1020361984,정상회원,수지구-동천동,여,42.0,미신청,.,normal,30.0,2022-10-24,248776.0,40대
1020373120,정상회원,수지구-풍덕천동,여,45.0,미신청,.,normal,21.0,2022-10-17,326407.0,40대
1020384256,정상회원,기타-기타,여,40.0,미신청,.,normal,34.0,2022-10-30,368526.0,40대
1020462208,정상회원,수지구-동천동,여,52.0,미신청,.,normal,6.0,2022-04-29,52263.0,50대
1021475584,정상회원,기타-기타,여,57.0,미신청,.,normal,1.0,2022-04-05,38288.0,50대
1021718720,정상회원,기타-기타,여,59.0,미신청,.,normal,2.0,2022-02-18,8806.0,50대
1021731712,정상회원,기타-기타,여,56.0,미신청,.,normal,1.0,2022-10-12,10338.0,50대
102178368,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,1.0,2022-07-10,7370.0,40대
1021813376,정상회원,기타-기타,여,55.0,미신청,.,normal,1.0,2022-02-12,10721.0,50대
1022654144,정상회원,수지구-성복동,여,57.0,미신청,.,normal,4.0,2022-01-09,43840.0,50대
1023006784,정상회원,수지구-상현동,여,39.0,미신청,.,normal,1.0,2022-02-27,8423.0,30대
1023025344,정상회원,수지구-동천동,여,67.0,미신청,.,normal,4.0,2022-06-26,43074.0,60대
1023027200,정상회원,수지구-동천동,여,45.0,미신청,.,normal,3.0,2022-08-27,26036.0,40대
1023108864,정상회원,수지구-풍덕천동,여,36.0,미신청,수신,normal,76.0,2022-10-30,555131.0,30대
1023140416,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,3.0,2022-10-05,24696.0,40대
1023218368,정상회원,수지구-상현동,여,47.0,미신청,.,normal,4.0,2022-06-28,51498.0,40대
102328704,정상회원,기타-기타,남,44.0,미신청,.,normal,1.0,2022-02-01,47860.0,40대
1023609984,정상회원,수지구-동천동,여,40.0,미신청,.,normal,2.0,2022-03-30,9955.0,40대
1023613696,정상회원,수지구-동천동,여,49.0,미신청,.,normal,10.0,2022-04-23,107684.0,40대
